dataset,outcome,method,feature,n_users,coef_mean,coef_sd,r2_mean,n_keysets,coef_sign,abs_coef_mean
sam,centered,frequency,adjacent_basket_jaccard,3678.0,0.01477927261601616,0.007270297214802407,0.07217947071327309,3,positive,0.01477927261601616
sam,centered,fpmc,neighbor_similarity,3678.0,0.014413125382275004,0.005003589773292674,0.06780764513463189,3,positive,0.014413125382275004
sam,centered,tifuknn,neighbor_similarity,3678.0,-0.01361229477965603,0.0037643368065841724,0.06305268388337155,3,negative,0.01361229477965603
sam,centered,dnntsp,avg_basket_size,3678.0,0.013251999391193384,0.0058588672387388345,0.03327995534247415,3,positive,0.013251999391193384
sam,centered,cbp,n_baskets,3678.0,-0.012759183645785094,0.0013558769396020255,0.0670183283168196,3,negative,0.012759183645785094
sam,centered,recency,neighbor_similarity,3678.0,-0.012107351899366398,0.005562547034122782,0.11146275527865264,3,negative,0.012107351899366398
sam,centered,triple2vec,n_baskets,3678.0,-0.011756277024529476,0.0011782844501157827,0.07120148539572135,3,negative,0.011756277024529476
sam,centered,dnntsp,relational_strength,3678.0,0.010721158005868424,0.012364066111736969,0.03327995534247415,3,mixed,0.010721158005868424
sam,centered,frequency,n_baskets,3678.0,-0.01071321208735847,0.003166736106970849,0.07217947071327309,3,negative,0.01071321208735847
sam,centered,diffrec,popularity_profile,3678.0,0.010673259686652605,0.005172079562061208,0.3021003334399788,3,positive,0.010673259686652605
sam,centered,fpmc,avg_basket_size,3678.0,-0.00995596763810723,0.003296202578092872,0.06780764513463189,3,negative,0.00995596763810723
sam,centered,dnntsp,neighbor_similarity,3678.0,-0.00952006156609455,0.007654247374298355,0.03327995534247415,3,negative,0.00952006156609455
sam,centered,dnntsp,popularity_profile,3678.0,-0.008784534041558063,0.005132204859320522,0.03327995534247415,3,negative,0.008784534041558063
sam,centered,tifuknn,adjacent_basket_jaccard,3678.0,0.008027348238565176,0.004910167716471428,0.06305268388337155,3,positive,0.008027348238565176
sam,centered,dnntsp,transition_strength,3678.0,-0.00789896678740813,0.014281777175874026,0.03327995534247415,3,mixed,0.00789896678740813
sam,centered,recency,n_baskets,3678.0,-0.006550309705041407,0.0020276170438521123,0.11146275527865264,3,negative,0.006550309705041407
sam,centered,diffrec,repeat_rate,3678.0,-0.006422744626179852,0.013929870515598877,0.3021003334399788,3,mixed,0.006422744626179852
sam,centered,fpmc,popularity_profile,3678.0,0.006372792480371564,0.008125805227742453,0.06780764513463189,3,mixed,0.006372792480371564
sam,centered,recency,popularity_profile,3678.0,-0.0059931292025673785,0.008444416250990386,0.11146275527865264,3,mixed,0.0059931292025673785
sam,centered,tifuknn,avg_basket_size,3678.0,-0.003939459023410158,0.00208469371075755,0.06305268388337155,3,negative,0.003939459023410158
sam,centered,dnntsp,repeat_rate,3678.0,0.003822581093351157,0.017358375333791216,0.03327995534247415,3,mixed,0.003822581093351157
sam,centered,cbp,relational_strength,3678.0,-0.003774202174392307,0.0011825244924300806,0.0670183283168196,3,negative,0.003774202174392307
sam,centered,triple2vec,avg_basket_size,3678.0,-0.003744212041142315,0.0040175129597603285,0.07120148539572135,3,mixed,0.003744212041142315
