dataset,feature,min_baskets,method,n_users_slice,n_users_feature,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,n_keysets,rho_centered_sign
dunnhumby,transition_strength,2,diffrec,4504.0,4504.0,0.15081690430522407,0.024912993713072158,0.03135407199156243,0.024137927958086457,3,positive
dunnhumby,transition_strength,2,dnntsp,4504.0,4504.0,0.14216391976221368,0.01920655687689625,-0.004346747348219811,0.017299655608923232,3,mixed
dunnhumby,transition_strength,2,fpmc,4504.0,4504.0,0.0942447310494447,0.015163925499550411,-0.1309611545551778,0.01162305714854673,3,negative
dunnhumby,transition_strength,2,frequency,4504.0,4504.0,0.15355643139410527,0.016705488263512747,0.07989244606337968,0.010162172774442159,3,positive
dunnhumby,transition_strength,2,recency,4504.0,4504.0,0.15965427736684346,0.017895453032361598,-0.02474882729576421,0.012489494932128701,3,negative
dunnhumby,transition_strength,2,tifuknn,4504.0,4504.0,0.16178373266948556,0.01680675594778679,0.094088355956828,0.005710476804602461,3,positive
dunnhumby,transition_strength,2,triple2vec,4504.0,4504.0,0.15500769574879492,0.020890024652824295,0.05877344415145542,0.014062926604432013,3,positive
dunnhumby,transition_strength,3,cbp,4014.0,4014.0,0.16285525872240933,0.0168884418812872,0.08619406000822438,0.01149474041755098,3,positive
dunnhumby,transition_strength,3,diffrec,4014.0,4014.0,0.15727482701750203,0.025933256330972293,0.022657559758939853,0.026860665953751448,3,positive
dunnhumby,transition_strength,3,dnntsp,4014.0,4014.0,0.15237891071718826,0.01809131673352538,-0.0017956955711613508,0.01970839795828226,3,mixed
dunnhumby,transition_strength,3,fpmc,4014.0,4014.0,0.10626634363416389,0.016608026658044686,-0.1360370180739693,0.007902923800840145,3,negative
dunnhumby,transition_strength,3,frequency,4014.0,4014.0,0.16367141379872746,0.017076761294471013,0.08681495843367458,0.015590153411499356,3,positive
dunnhumby,transition_strength,3,recency,4014.0,4014.0,0.1681380358994552,0.015401094382996946,-0.03127798755194499,0.019148561018647123,3,negative
dunnhumby,transition_strength,3,tifuknn,4014.0,4014.0,0.17304593180052197,0.015801907941326573,0.1011853513722535,0.0020989180203040726,3,positive
dunnhumby,transition_strength,3,triple2vec,4014.0,4014.0,0.16600177156368137,0.019823183873762893,0.06444968401582096,0.010406961379761484,3,positive
dunnhumby,transition_strength,5,cbp,3184.3333333333335,3184.3333333333335,0.16710399002707374,0.01773778733075651,0.0886124080626704,0.010590824904556987,3,positive
dunnhumby,transition_strength,5,diffrec,3184.3333333333335,3184.3333333333335,0.15778588210477074,0.023838303141025835,0.015626983733586574,0.0217166863533863,3,mixed
